"Usar (SI/NO)","Producto","Foto sugerida (proveedor)","URL de la foto","Handle"
"SI","Khamrah Lattafa 100 ML","Khamrah – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/KHAMRAHLATAFFA1.jpg?v=1755440082","khamrah-lattafa"
"SI","Yara Lattafa 100 ML","Yara Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARALATAFFA1.jpg?v=1749820072","yara-lattafa"
"SI","Eclaire Lattafa 100 ML","Eclaire Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ECLAIRELATAFFA1.jpg?v=1749819460","eclaire-lattafa"
"SI","Sauvage Dior 100 ML","Sauvage dior","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SAUVAGEDIOR1.jpg?v=1749747555","sauvage-dior"
"SI","One Million 100 ML","One million","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLION1.jpg?v=1749732338","one-million"
"SI","Invictus 100 ML","Invictus","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUS1.jpg?v=1749732610","invictus"
"SI","Le Male Elixir 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir"
"SI","212 VIP Rosé 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-rose"
"SI","Cloud Ariana Grande 100 ML","Cloud ariana grande","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/CLOUDARIANAGRANDE1.jpg?v=1749750306","cloud-ariana-grande"
"SI","Asad Bourbon 100 ML","Asad bourbon","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ASADBURBONLATAFFA1.jpg?v=1749817755","asad-bourbon-100-ml"
"SI","Le Male Le Parfum 120 ML","Le Male Le Parfum","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/37.svg?v=1755444089","le-male-le-parfum-120-ml"
"SI","One Million Royal 100 ML","One million royal","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/ONEMILLIONROYAL1.jpg?v=1749732484","one-million-royal-100-ml"
"SI","Valentino Born in Roma 100 ML","Valentino Born in Roma Intense","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/VALENTINOBORNINROMAINTENSE1.jpg?v=1749819104","valentino-born-in-roma-100-ml"
"SI","Oud For Glory Cofre 100 ML","Oud For Glory","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/OUDFORGLORY1.jpg?v=1749818923","oud-for-glory-cofre"
"SI","Stronger With You 100 ML","Stronger With You Intensely","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/STRONGERWITHYOYINTENSLY1.jpg?v=1749819041","stronger-with-you"
"SI","Oud For Glory Caja 100 ML","Oud For Glory","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/OUDFORGLORY1.jpg?v=1749818923","oud-for-glory-caja-100-ml"
"SI","Le Male Elixir Absolu 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir-absolu-120-ml"
"SI","Le Male Elixir Lata 120 ML","Le male elixir","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/LEMALEELIXIR1.jpg?v=1749746828","le-male-elixir-lata-120-ml"
"SI","212 VIP Red Rose 80 ML","212 Vip rose","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/212VIPROSE1.jpg?v=1749748763","212-vip-red-rose-80-ml"
"SI","Cloud Pink Ariana Grande 100 ML","Cloud ariana grande","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/CLOUDARIANAGRANDE1.jpg?v=1749750306","cloud-pink-ariana-grande-100-ml"
"SI","Haya Lattafa Cofre 100 ML","Haya Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HAYALATAFFA1.jpg?v=1749819517","haya-lattafa-cofre-100-ml"
"SI","Haya Lattafa Caja 100 ML","Haya Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/HAYALATAFFA1.jpg?v=1749819517","haya-lattafa-caja-100-ml"
"SI","Khamrah Lattafa Cofre 100 ML","Khamrah – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/KHAMRAHLATAFFA1.jpg?v=1755440082","khamrah-lattafa-cofre-100-ml"
"SI","Yara Lattafa Elixir 100 ML","Yara Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARALATAFFA1.jpg?v=1749820072","yara-lattafa-elixir-100-ml"
"SI","Yara Candy 100 ML","Yara Candy Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/YARACANDY1_1.jpg?v=1749820023","yara-candy-100-ml"
"SI","Lattafa Amethyst Cofre 100 ML","Amethyst – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/AMETHYSTALATAFFA1.jpg?v=1749819203","lattafa-amethyst-cofre-100-ml"
"SI","Lattafa Amethyst Caja 100 ML","Amethyst – Lattafa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/AMETHYSTALATAFFA1.jpg?v=1749819203","lattafa-amethyst-caja-100-ml"
"SI","Lattafa Sublime Cofre 100 ML","Sublime Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SUBLIMELATAFFA1.jpg?v=1749819911","lattafa-sublime-cofre-100-ml"
"SI","Lattafa Sublime Caja 100 ML","Sublime Lataffa","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SUBLIMELATAFFA1.jpg?v=1749819911","lattafa-sublime-caja-100-ml"
"SI","Scandal Parfum Men 100 ML","Scandal men","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SCANDALMEN1.jpg?v=1749747902","scandal-parfum-men-100-ml"
"SI","Scandal Men JP 100 ML","Scandal men","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/SCANDALMEN1.jpg?v=1749747902","scandal-men-jp-100-ml"
